,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
104,7ny2ATvjtKszCpLpfsGnVQ,A Hard Rain's A-Gonna Fall,Bob Dylan,album,1963-05-27,1960,55,0.567,0.198,4,-18.681,1,0.0327,0.919,0.000871,0.135,0.321,92.467,412200,4
105,1Bqt4M53ylr5NXMvBg1FMf,Golden Ring - Single Version,Tammy Wynette,album,1964,1960,47,0.458,0.514,11,-12.644,1,0.0603,0.528,0.0,0.185,0.603,166.523,181493,4
106,2Cb2l4UoXynCHCeCYHRZN8,Stand By Your Man,Tammy Wynette,album,1968,1960,52,0.563,0.331,9,-9.681,1,0.0283,0.776,0.000846,0.125,0.608,105.779,157893,4
107,1wgXZFadykcGX9W1olAOmp,Dumb Blonde,Dolly Parton,album,1967-02-13,1960,49,0.621,0.565,7,-8.033,1,0.0311,0.659,0.0,0.116,0.775,79.922,150447,4
108,1guPCVBMmglx2m1DM0xOBu,Once a Day,Connie Smith,album,1965,1960,52,0.502,0.353,6,-9.957,1,0.0317,0.451,0.0,0.0583,0.751,136.746,140120,4
109,1yKah8BCP3Vgq2tPBOLKL0,All Your Love - Stereo,John Mayall & The Bluesbreakers,album,1966-06-22,1960,60,0.321,0.625,2,-5.219,0,0.0302,0.491,5.08e-05,0.345,0.777,107.338,212600,4
110,0jtz7Ia3HahOqXWnKad0rn,Polk Salad Annie,Tony Joe White,album,1969,1960,57,0.783,0.543,9,-11.565,1,0.0412,0.303,0.0159,0.0892,0.833,132.035,223533,4
111,7xrODhgXFNVsRtKoyt5rJo,"Cocaine Blues - Live at Folsom State Prison, Folsom, CA - January 1968",Johnny Cash,album,1968-05-01,1960,49,0.679,0.519,8,-13.562,1,0.187,0.545,0.0,0.787,0.839,121.41,183253,4
112,7Lmf6vbhGpgC60KHIICkRX,I'll Be Lucky Someday - Remastered 2001,Glen Campbell,album,1967,1960,52,0.334,0.26,7,-13.694,0,0.0301,0.0882,5.28e-05,0.168,0.282,95.875,146933,3
113,0rBoz4CbJGRIRgMyCXbPur,Cattle Call,Eddy Arnold,album,1963-11-19,1960,49,0.428,0.186,3,-12.286,1,0.0275,0.943,3.83e-05,0.108,0.497,78.629,162333,3
114,0rE8nugfCMtsC3mzNukV8Z,"Dark as the Dungeon - Live at Folsom State Prison, Folsom, CA - January 1968",Johnny Cash,album,1968-05-01,1960,50,0.499,0.281,3,-17.128,1,0.193,0.859,3.85e-05,0.918,0.375,111.769,187707,3
115,1tZKsxgKebVQX9s6oiojG9,By The Time I Get To Phoenix - Remastered 2001,Glen Campbell,album,1967,1960,54,0.218,0.336,5,-12.997,1,0.0301,0.0743,1.61e-06,0.134,0.232,176.66,164200,4
116,2pVQtg1gfTftOLugm5ENov,I Washed My Hands in Muddy Water,Stonewall Jackson,album,1964,1960,48,0.618,0.37,7,-11.023,1,0.0345,0.788,0.0,0.146,0.653,81.553,162840,4
117,7IvUQIQpP2xM93Ym6w7s5d,Dixie,Tennessee Ernie Ford,album,1961-07-10,1960,48,0.724,0.748,5,-7.224,1,0.0498,0.736,0.0,0.0692,0.962,107.904,141240,4
118,2dLzyrwHEEK8umYoOYaSPc,"I Still Miss Someone - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",Johnny Cash,album,1968-05-01,1960,50,0.58,0.296,10,-15.875,1,0.0343,0.555,0.000472,0.468,0.582,96.155,96960,4
119,7GCNh1ibQiae8aimaEUOFq,Galveston - Remastered 2001,Glen Campbell,album,1969,1960,51,0.526,0.52,5,-8.918,1,0.0296,0.202,0.000329,0.156,0.675,118.404,161067,4
120,0aD8W0ChzDgEKpB1zsJ8zv,Crystal Blue Persuasion,Tommy James & The Shondells,album,1968-01-01,1960,54,0.621,0.341,9,-11.447,1,0.049,0.102,7.78e-05,0.0652,0.578,98.554,242320,4
121,3bgTFCt5CTfasvpigHAdL0,It Came Out Of The Sky,Creedence Clearwater Revival,album,1969-11-02,1960,56,0.621,0.89,2,-7.605,1,0.0328,0.225,0.000582,0.174,0.965,148.417,175667,4
122,0Fnb2pfBfu0ka33d6Yki17,All Along the Watchtower,Bob Dylan,album,1967-12-27,1960,56,0.581,0.41,1,-12.617,0,0.0303,0.475,2.04e-05,0.0746,0.697,129.175,151093,4
123,39m6vOwUEgjErRnsm93wu2,Wooden Ships - 2005 Remaster,"Crosby, Stills & Nash",album,1969-05-29,1960,51,0.475,0.303,4,-13.39,0,0.0313,0.666,0.0765,0.112,0.57,79.202,326293,4
