,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
214,0uZRJmWi1TH3wrAN7hAbyF,Guys Do It All the Time,Mindy McCready,album,1996-04-30,1990,50,0.551,0.794,0,-5.995,1,0.0341,2.01e-05,0.231,0.587,165.813,191800,4
215,59GPuKaImwVCqcYRm1xrkY,I Do,Paul Brandt,album,1996-11-06,1990,50,0.546,0.383,3,-10.518,1,0.0272,0.0,0.0702,0.324,73.389,220107,4
216,13Oi7vfd9mrujcEmGAYAPe,Your Cheatin' Heart,Hank Williams,album,1998-09-22,1990,54,0.672,0.243,0,-11.634,1,0.0281,1.79e-05,0.082,0.689,127.716,161640,4
217,6MAFveif1NyVgcTZ4T8CXQ,I Let Her Lie,Daryle Singletary,album,1995-05-20,1990,49,0.663,0.48,4,-9.267,1,0.0245,0.000387,0.165,0.218,95.912,178190,4
218,3f5rOhrNLYP53c9RcPfp02,Me and You,Kenny Chesney,album,1995-06-12,1990,51,0.595,0.32,7,-9.494,1,0.0272,7.06e-05,0.34,0.239,143.565,219960,4
219,7ottDUMz3VomUN2Ln9FWdI,Choices,George Jones,album,1999-01-01,1990,51,0.476,0.349,2,-11.635,1,0.0275,0.0,0.0805,0.316,138.085,206213,4
220,0UvxyH7s9gsp8dVL53gQg1,Nothin' But The Taillights,Clint Black,album,1997-04-09,1990,48,0.56,0.841,7,-7.92,1,0.0432,7.03e-05,0.365,0.756,154.852,233960,4
221,0nqjaaZQtY9fgl1M9qjssn,A Broken Wing,Martina McBride,album,1997-08-26,1990,49,0.433,0.478,11,-7.378,1,0.0369,0.0,0.333,0.219,199.785,215600,3
222,4s9JGX0flu9KcxZziV3I0C,Why Didn't I Think Of That,Doug Stone,album,1990,1990,49,0.758,0.596,2,-7.468,1,0.0281,1.86e-05,0.132,0.859,121.207,191440,4
223,3P2XAL8UpPBM3nfvuEjHHE,Turn The Page - Live,Bob Seger,compilation,1994-10-25,1990,53,0.528,0.362,9,-10.352,1,0.0322,0.0,0.794,0.305,78.801,302563,4
224,63xBnyUVKIupzjHno4wFs3,Into The Great Wide Open,Tom Petty and the Heartbreakers,album,1991-01-01,1990,56,0.608,0.583,4,-9.727,0,0.0235,0.0,0.129,0.714,82.227,223333,4
225,3EiXWMUIE0bNNo36suPrRQ,Better Class of Losers,Randy Travis,album,1991-08-27,1990,49,0.59,0.686,7,-6.998,1,0.0364,0.0,0.2,0.733,179.387,160360,4
226,2zNuaa0jBttcqSeURO6Odt,Unbelievable,Diamond Rio,album,1998-07-27,1990,50,0.765,0.596,11,-7.586,1,0.0518,0.0,0.289,0.941,158.112,141533,3
227,2s1gKDfyy4wTv5gzZleWUT,Two Dozen Roses,Shenandoah,album,1994,1990,50,0.695,0.502,4,-12.01,1,0.0279,0.0,0.097,0.543,117.083,223613,4
228,4kTCYsbseIEd7aJmeCIP2n,Suspicious Minds,Dwight Yoakam,compilation,1999,1990,51,0.544,0.901,5,-4.412,1,0.0522,0.00688,0.13,0.483,123.766,234133,4
229,4fOFOwrAHA9PdhOL7lciok,We Danced Anyway,Deana Carter,album,1996-01-01,1990,49,0.629,0.721,6,-3.722,1,0.0277,0.0,0.307,0.651,94.054,202533,4
230,7kTZ41YHhcWAp4M0JJ29xP,Summertime Blues,Alan Jackson,album,1994-06-28,1990,48,0.604,0.807,7,-8.697,1,0.0343,7.48e-05,0.238,0.968,161.0,192867,4
231,3TkENcA7TF7QysCvt0oQ5e,Midnight In Montgomery,Alan Jackson,album,1991-04-03,1990,50,0.595,0.253,2,-12.354,0,0.0297,2.25e-06,0.105,0.123,139.861,225133,4
232,2VBSOgBcnLHkfat8P2VGvf,I Can Love You Better,The Chicks,album,1998-01-27,1990,50,0.788,0.748,9,-5.439,1,0.0344,0.0,0.0638,0.608,119.781,233916,4
233,1uC05EIsB37sS6UGKgJAqx,Nobody Knows,Kevin Sharp,album,1996-09-24,1990,50,0.657,0.463,6,-9.968,1,0.0246,0.0,0.244,0.209,88.432,206427,4
234,5IJWnvJJgH4PR4p9aXnNCQ,Jealous Again,The Black Crowes,album,1990-02-13,1990,55,0.633,0.842,7,-4.642,1,0.0262,0.0,0.139,0.674,114.449,275067,4
235,6ivUoajqXRNVIyEGhRkucw,Silver Stallion,The Highwaymen,album,1990-02-27,1990,53,0.625,0.523,1,-14.647,0,0.0311,0.0564,0.252,0.723,148.03,192427,4
236,6MnDkyb3VstTCT9ELxjfeE,I Love the Way You Love Me,John Michael Montgomery,compilation,1997,1990,48,0.447,0.319,8,-10.732,1,0.0264,1.35e-06,0.106,0.246,162.109,241307,4
237,2KgsImShtnuBYfKVgfbAuy,No News,Lonestar,album,1995-10-09,1990,49,0.741,0.683,5,-5.866,0,0.0285,0.0,0.0604,0.86,116.301,173600,4
238,2iehL6Q3m5NUDanDT2IKwT,No Doubt About It,Neal McCoy,album,1994-01-18,1990,48,0.621,0.469,4,-10.438,1,0.0267,3.34e-05,0.067,0.511,144.665,227640,4
239,0vtvjbeDqVSDl9rdpaQK6N,Whose Bed Have Your Boots Been Under?,Shania Twain,album,1995-01-01,1990,52,0.73,0.639,5,-9.04,1,0.0358,0.0,0.117,0.857,132.095,264507,4
240,1DQm5b0x7SOn22xWxIW2r8,Spirit In The Sky,The Kentucky Headhunters,album,1991,1990,51,0.479,0.763,9,-7.035,1,0.0305,0.0305,0.0562,0.655,132.693,261133,4
241,6QLh3oOA1AKocLHFH6j7qA,Dead Flowers,Townes Van Zandt,album,1994,1990,51,0.554,0.175,0,-16.763,1,0.0335,0.0,0.107,0.42,118.686,287293,4
242,0wfr8FjpLXIO1YjqEyVCg5,You Won't Ever Be Lonely,Andy Griggs,album,1999-04-03,1990,48,0.471,0.617,8,-8.394,1,0.038,0.0,0.229,0.491,182.323,210307,4
243,3P6OwCX7Ofiaaqtvujb6i5,Sixteen Tons,Tennessee Ernie Ford,album,1997-01-01,1990,55,0.693,0.324,11,-15.085,1,0.205,0.0,0.246,0.382,144.14,158307,4
244,5rQcDgz44osyj2rdtuOmPl,Like the Rain,Clint Black,compilation,1996-09-23,1990,48,0.531,0.439,9,-11.492,1,0.0368,0.0,0.27,0.271,79.732,262400,4
245,7zE9E6iBKPCwCW6orDoY4X,Thinkin' Problem,David Ball,album,1994,1990,48,0.765,0.573,0,-11.243,1,0.0324,1.92e-05,0.221,0.74,110.434,181133,4
246,7bJSiwLFnhoO7g83bWkCtA,Love Will Keep Us Alive,Eagles,album,1994-11-08,1990,61,0.658,0.374,9,-11.684,1,0.026,1.28e-05,0.112,0.367,98.892,243453,4
247,5fv9qtXwNV6Xx3P9bRed5i,Old Hippie,The Bellamy Brothers,compilation,1992-03-16,1990,50,0.691,0.497,11,-13.248,1,0.0473,5.94e-06,0.0859,0.701,103.893,247040,4
248,3clB1MI7aKn0N9X1KuWK8n,Okie From Muskogee - Re-Recorded,Merle Haggard,album,1996-01-01,1990,50,0.683,0.416,4,-12.967,1,0.0536,0.0,0.384,0.738,142.386,160138,4
249,7fF6Af2M3vL4IUtE8cMy6G,Feel Alright,Steve Earle,album,1996-03-01,1990,51,0.529,0.792,0,-5.482,1,0.0298,2.16e-05,0.232,0.716,119.262,176347,4
